movieId, Title, Director, Budget, Cumulative, Runtime
38,It Takes Two,Andy Tennant,19474589,19474589,101 min
39,Clueless,Amy Heckerling,12000000,56631572,97 min
40,"Cry, the Beloved Country",Darrell Roodt,0,676525,106 min
41,Richard III,Richard Loncraine,0,2748518,104 min
42,Dead Presidents,"Albert Hughes, Allen Hughes",10000000,24100000,119 min
43,Restoration,Michael Hoffman,19000000,4005941,117 min
44,Mortal Kombat,Paul W.S. Anderson,18000000,122195920,101 min
45,To Die For,Gus Van Sant,20000000,21300000,106 min
46,How to Make an American Quilt,Jocelyn Moorhouse,10000000,41200020,117 min
47,Se7en,David Fincher,33000000,327311859,127 min
48,Pocahontas,"Mike Gabriel, Eric Goldberg",55000000,346100000,81 min
49,When Night Is Falling,Patricia Rozema,0,0,94 min
50,The Usual Suspects,Bryan Singer,6000000,23300000,106 min
52,Mighty Aphrodite,Woody Allen,15000000,6700000,95 min
53,Lamerica,Gianni Amelio,0,0,116 min
54,The Big Green,Holly Goldberg Sloan,0,0,100 min
55,Georgia,Ulu Grosbard,0,1110974,115 min
57,Home for the Holidays,Jodie Foster,20000000,22119269,103 min
58,The Postman,"Michael Radford, Massimo Troisi",3000000,33000000,108 min
60,The Indian in the Cupboard,Frank Oz,45000000,35700000,96 min
61,Eye for an Eye,John Schlesinger,20000000,26877589,101 min
62,Mr. Holland's Opus,Stephen Herek,31000000,106300000,144 min
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Paris Barclay,3800000,20100000,89 min
64,Two If by Sea,Bill Bennett,0,10658278,96 min
65,Bio-Dome,Jason Bloom,8500000,13400000,88 min
66,Lawnmower Man 2: Beyond Cyberspace,Farhad Mann,15000000,2409225,93 min
68,French Twist,Josiane Balasko,0,0,104 min
69,Friday,F. Gary Gray,3500000,28215918,91 min
70,From Dusk Till Dawn,Robert Rodriguez,19000000,25800000,108 min
71,Fair Game,Andrew Sipes,50000000,11500000,91 min
72,Kicking and Screaming,Noah Baumbach,0,718490,96 min
73,Les Misérables,Claude Lelouch,0,0,175 min
74,Bed of Roses,Michael Goldenberg,0,19030691,87 min
75,Big Bully,Steve Miner,15000000,2042530,90 min
76,Screamers,Christian Duguay,20000000,5781885,108 min
77,Nico Icon,Susanne Ofteringer,0,0,67 min
78,The Crossing Guard,Sean Penn,0,0,111 min
79,The Juror,Brian Gibson,44000000,22754725,118 min
80,The White Balloon,Jafar Panahi,0,0,85 min
81,Things to Do in Denver When You're Dead,Gary Fleder,8000000,529766,115 min
82,Antonia's Line,Marleen Gorris,900000,0,102 min
83,Once Upon a Time... When We Were Colored,Tim Reid,0,0,115 min
85,Angels and Insects,Philip Haas,0,0,116 min
86,White Squall,Ridley Scott,38000000,10300000,129 min
87,Dunston Checks In,Ken Kwapis,16000000,0,88 min
88,Black Sheep,Penelope Spheeris,32400000,32000000,87 min
89,Nick of Time,John Badham,33000000,8175346,90 min
92,Mary Reilly,Stephen Frears,47000000,12379402,108 min
93,Vampire in Brooklyn,Wes Craven,14000000,19800000,100 min
94,Beautiful Girls,Ted Demme,16000000,27000000,112 min
95,Broken Arrow,John Woo,50000000,150300000,108 min
96,A Midwinter's Tale,Kenneth Branagh,0,0,99 min
97,La haine,Mathieu Kassovitz,2600000,15300000,98 min
99,Heidi Fleiss: Hollywood Madam,Nick Broomfield,0,0,106 min
100,City Hall,Harold Becker,40000000,33440204,111 min
101,Bottle Rocket,Wes Anderson,7000000,1040879,91 min
102,Mr. Wrong,Nick Castle,0,0,96 min
103,Unforgettable,John Dahl,18000000,0,117 min
104,Happy Gilmore,Dennis Dugan,12000000,41205099,92 min
105,The Bridges of Madison County,Clint Eastwood,24000000,182000000,135 min
106,Nobody Loves Me,Doris Dörrie,0,0,104 min
107,Muppet Treasure Island,Brian Henson,31000000,34300000,99 min
108,Catwalk,Robert Leacock,0,0,95 min
110,Braveheart,Mel Gibson,72000000,213216216,178 min
111,Taxi Driver,Martin Scorsese,1900000,28579636,114 min
112,Rumble in the Bronx,Stanley Tong,7500000,76028558,87 min
113,Before and After,Barbet Schroeder,35000000,8797839,108 min
116,Anne Frank Remembered,Jon Blair,0,0,117 min
117,The Young Poisoner's Handbook,Benjamin Ross,None,None,99 min
118,If Lucy Fell,Eric Schaeffer,5000000,2420162,92 min
119,Steal Big Steal Little,Andrew Davis,25000000,6278139,135 min
121,The Boys of St. Vincent,John N. Smith,0,204540,93 min
122,Boomerang,Reginald Hudlin,40000000,131052444,117 min
123,Chungking Express,Wong Kar-Wai,160000,0,102 min
125,Flirting with Disaster,David O. Russell,7000000,14702438,92 min
126,The NeverEnding Story III,Peter MacDonald,17000000,0,95 min
128,Jupiter's Wife,Michel Negroponte,0,0,87 min
129,Pie in the Sky,Bryan Gordon,0,0,95 min
132,Jade,William Friedkin,50000000,9851610,95 min
135,Down Periscope,David S. Ward,0,37553585,92 min
137,Man of the Year,Dirk Shafer,0,209935,86 min
140,Up Close & Personal,Jon Avnet,60000000,100688562,124 min
141,The Birdcage,Mike Nichols,31000000,185300000,117 min
144,The Brothers McMullen,Edward Burns,0,0,98 min
145,Bad Boys,Michael Bay,19000000,141407024,119 min
146,The Amazing Panda Adventure,Christopher Cain,0,7506759,84 min
147,The Basketball Diaries,Scott Kalvert,2000000,2381087,102 min
148,An Awfully Big Adventure,Mike Newell,4000000,851545,112 min
149,Amateur,Hal Hartley,0,0,105 min
150,Apollo 13,Ron Howard,52000000,355237933,140 min
151,Rob Roy,Michael Caton-Jones,28000000,31600000,139 min
152,The Addiction,Abel Ferrara,0,0,82 min
153,Batman Forever,Joel Schumacher,100000000,336529144,121 min
154,Belle de Jour,Luis Buñuel,0,0,100 min
155,Beyond Rangoon,John Boorman,23000000,14700000,100 min
156,Blue in the Face,"Paul Auster, Wayne Wang, Harvey Wang",2000000,1300000,83 min
157,Canadian Bacon,Michael Moore,11000000,178104,91 min
158,Casper,Brad Silberling,50000000,287928194,100 min
159,Clockers,Spike Lee,25000000,13100000,128 min
160,Congo,Frank Marshall,50000000,152022101,109 min
161,Crimson Tide,Tony Scott,53000000,157387195,116 min
162,Crumb,Terry Zwigoff,0,3041083,119 min
163,Desperado,Robert Rodriguez,7000000,25405445,104 min
164,Devil in a Blue Dress,Carl Franklin,27000000,16140822,102 min
165,Die Hard with a Vengeance,John McTiernan,90000000,366101666,128 min
166,The Doom Generation,Gregg Araki,800000,284785,83 min
168,First Knight,Jerry Zucker,55000000,127600435,134 min
169,Free Willy 2: The Adventure Home,Dwight H. Little,31000000,30000000,95 min
170,Hackers,Iain Softley,20000000,7563728,105 min
171,Jeffrey,Christopher Ashley,0,3487767,92 min
172,Johnny Mnemonic,Robert Longo,25000000,19075720,96 min
173,Judge Dredd,Danny Cannon,90000000,113493481,96 min
174,Jury Duty,John Fortenberry,0,17014653,88 min
175,Kids,Larry Clark,1500000,20412216,91 min
176,Living in Oblivion,Tom DiCillo,500000,1148752,90 min
177,Lord of Illusions,Clive Barker,0,13294594,109 min
178,Love and Human Remains,Denys Arcand,0,0,100 min
179,Mad Love,Antonia Bird,0,15453274,93 min
180,Mallrats,Kevin Smith,6000000,2122561,94 min
181,Mighty Morphin Power Rangers,Bryan Spicer,15000000,66433194,95 min
183,Mute Witness,Anthony Waller,0,0,95 min
184,Nadja,Michael Almereyda,0,0,93 min
185,The Net,Irwin Winkler,22000000,110627965,114 min
186,Nine Months,Chris Columbus,35000000,138500000,103 min
187,Party Girl,Daisy von Scherler Mayer,150000,472370,94 min
188,The Prophecy,Gregory Widen,8000000,16115878,98 min
189,Reckless,Norman René,0,0,91 min
190,Safe,Todd Haynes,0,0,119 min
191,The Scarlet Letter,Roland Joffé,50000000,10382407,135 min
193,Showgirls,Paul Verhoeven,45000000,20350754,128 min
194,Smoke,Wayne Wang,7000000,8349430,112 min
195,Something to Talk About,Lasse Hallström,30000000,77300000,106 min
196,Species,Roger Donaldson,35000000,113400000,108 min
198,Strange Days,Kathryn Bigelow,42000000,7959291,145 min
199,The Umbrellas of Cherbourg,Jacques Demy,200000,7600000,91 min
201,Three Wishes,Martha Coolidge,10000000,7027000,115 min
202,Total Eclipse,Agnieszka Holland,0,339889,111 min
204,Under Siege 2: Dark Territory,Geoff Murphy,60000000,104324083,100 min
205,Unstrung Heroes,Diane Keaton,0,0,93 min
206,Unzipped,Douglas Keeve,0,0,73 min
207,A Walk in the Clouds,Alfonso Arau,20000000,50012507,102 min
208,Waterworld,Kevin Reynolds,175000000,264218220,135 min
209,White Man's Burden,Desmond Nakano,7000000,9000000,89 min
210,Wild Bill,Walter Hill,30000000,2193982,98 min
212,Bushwhacked,Greg Beeman,0,7919823,90 min
213,Burnt by the Sun,Nikita Mikhalkov,2800000,2616503,135 min
214,Before the Rain,Milcho Manchevski,0,763847,113 min
215,Before Sunrise,Richard Linklater,2500000,5987386,101 min
216,Billy Madison,Tamra Davis,10000000,26488734,89 min
217,The Babysitter,Guy Ferland,0,0,90 min
218,Boys on the Side,Herbert Ross,21000000,23450000,115 min
219,The Cure,Peter Horton,0,2568235,97 min
220,Castle Freak,Stuart Gordon,0,0,90 min
222,Circle of Friends,Pat O'Connor,15000000,45000000,103 min
223,Clerks,Kevin Smith,27575,3151130,92 min
224,Don Juan DeMarco,Jeremy Leven,25000000,68792531,97 min
225,Disclosure,Barry Levinson,55000000,214015089,128 min
227,Drop Zone,John Badham,45000000,62000000,101 min
228,Destiny Turns on the Radio,Jack Baran,0,1200000,102 min
229,Death and the Maiden,Roman Polanski,12000000,8003716,103 min
230,Dolores Claiborne,Taylor Hackford,13000000,46400000,132 min
231,Dumb and Dumber,"Peter Farrelly, Bobby Farrelly",16000000,247275374,107 min
232,Eat Drink Man Woman,Ang Lee,0,7294403,124 min
233,Exotica,Atom Egoyan,2000000,4221036,103 min
234,Exit to Eden,Garry Marshall,27500000,6800000,113 min
235,Ed Wood,Tim Burton,18000000,5900000,127 min
236,French Kiss,Lawrence Kasdan,0,101982854,111 min
237,Forget Paris,Billy Crystal,0,33177694,101 min
238,Far from Home: The Adventures of Yellow Dog,Phillip Borsos,0,0,81 min
239,A Goofy Movie,Kevin Lima,18000000,35348597,78 min
240,Hideaway,Brett Leonard,15000000,12201255,106 min
241,Fluke,Carlo Carlei,15000000,4000000,96 min
242,Farinelli,Gérard Corbiau,0,0,111 min
243,Gordy,Mark Lewis,0,3992809,90 min
246,Hoop Dreams,Steve James,700000,7830611,170 min
247,Heavenly Creatures,Peter Jackson,5000000,3049135,99 min
248,Houseguest,Randall Miller,10500000,26300000,113 min
249,Immortal Beloved,Bernard Rose,120,0,121 min
250,Heavyweights,Steven Brill,10000000,17700000,97 min
251,The Hunted,J.F. Lawton,15000000,6600000,110 min
252,I.Q.,Fred Schepisi,25000000,26381221,100 min
253,Interview with the Vampire,Neil Jordan,60000000,223664608,123 min
254,Jefferson in Paris,James Ivory,14000000,2474000,139 min
255,The Jerky Boys,James Melkonian,0,0,82 min
256,Junior,Ivan Reitman,60000000,108400000,109 min
257,Just Cause,Arne Glimcher,0,36853111,102 min
258,A Kid in King Arthur's Court,Michael Gottlieb,0,0,89 min
259,Kiss of Death,Barbet Schroeder,40000000,14942422,101 min
260,Star Wars: Episode IV - A New Hope,George Lucas,11000000,775398007,121 min
261,Little Women,Gillian Armstrong,18000000,50083616,115 min
262,A Little Princess,Alfonso Cuarón,17000000,10000000,97 min
263,Ladybird Ladybird,Ken Loach,0,0,101 min
265,Like Water for Chocolate,Alfonso Arau,2000000,21744201,105 min
266,Legends of the Fall,Edward Zwick,30000000,160638883,133 min
267,Major Payne,Nick Castle,0,30112050,95 min
269,My Crazy Life,Allison Anders,0,3267313,92 min
270,Love Affair,Glenn Gordon Caron,60000000,18300000,108 min
271,Losing Isaiah,Stephen Gyllenhaal,17000000,7603766,111 min
272,The Madness of King George,Nicholas Hytner,0,15238994,110 min
273,Frankenstein,Kenneth Branagh,45000000,112000000,123 min
274,Man of the House,James Orr,0,0,96 min
275,Mixed Nuts,Nora Ephron,15000000,0,97 min
276,Milk Money,Richard Benjamin,0,18137661,110 min
277,Miracle on 34th Street,Les Mayfield,0,46264384,114 min
278,Miami Rhapsody,David Frankel,0,5,95 min
279,My Family,Gregory Nava,5500000,11079373,128 min
280,Murder in the First,Marc Rocco,20000000,29500000,122 min
281,Nobody's Fool,Robert Benton,20000000,39491975,110 min
282,Nell,Michael Apted,31000000,106683817,112 min
283,New Jersey Drive,Nick Gomez,5000000,0,98 min
284,New York Cop,Tôru Murakawa,0,0,93 min
285,Beyond Bedlam,Vadim Jean,4800000,0,89 min
287,Nina Takes a Lover,Alan Jacobs,0,0,98 min
288,Natural Born Killers,Oliver Stone,34000000,50283563,119 min
289,Only You,Norman Jewison,0,20059210,109 min
290,Once Were Warriors,Lee Tamahori,950000,6700000,102 min
291,Poison Ivy II,Anne Goursaud,0,0,106 min
292,Outbreak,Wolfgang Petersen,50000000,189900000,127 min
293,Léon: The Professional,Luc Besson,16000000,45284974,110 min
294,The Perez Family,Mira Nair,11000000,2832826,113 min
295,A Pyromaniac's Love Story,Joshua Brand,0,345972,94 min
296,Pulp Fiction,Quentin Tarantino,8000000,213928762,154 min
298,Pushing Hands,Ang Lee,400000,152322,105 min
299,Priest,Antonia Bird,0,4176932,98 min
300,Quiz Show,Robert Redford,31000000,24822619,133 min
301,Picture Bride,Kayo Hatta,0,0,94 min
302,Queen Margot,Patrice Chéreau,0,1318578,161 min
303,The Quick and the Dead,Sam Raimi,35000000,47000000,108 min
304,Roommates,Peter Yates,22000000,12400000,108 min
305,Ready to Wear,Robert Altman,15000000,11300653,133 min
306,Three Colors: Red,Krzysztof Kieslowski,0,4127033,99 min
307,Three Colors: Blue,Krzysztof Kieslowski,0,1527572,98 min
308,Three Colors: White,Krzysztof Kieslowski,0,1273525,92 min
310,Rent-a-Kid,Fred Gerber,0,0,85 min
311,Relative Fear,George Mihalka,0,0,94 min
312,Stuart Saves His Family,Harold Ramis,6300000,912082,95 min
313,The Swan Princess,Richard Rich,20000000,9771658,90 min
314,The Secret of Roan Inish,John Sayles,5700000,6160000,103 min
315,The Specialist,Luis Llosa,45000000,170362582,110 min
316,Stargate,Roland Emmerich,55000000,196567262,116 min
317,The Santa Clause,John Pasquin,22000000,189833357,97 min
318,The Shawshank Redemption,Frank Darabont,25000000,28341469,142 min
319,Shallow Grave,Danny Boyle,2500000,19779614,89 min
320,Suture,"Scott McGehee, David Siegel",0,102780,96 min
321,Strawberry & Chocolate,"Tomás Gutiérrez Alea, Juan Carlos Tabío",0,2087569,108 min
322,Swimming with Sharks,George Huang,700000,382928,93 min
324,The Sum of Us,"Geoff Burton, Kevin Dowling",0,0,100 min
325,National Lampoon's Senior Trip,Kelly Makin,0,0,91 min
326,To Live,Yimou Zhang,0,0,133 min
327,Tank Girl,Rachel Talalay,25000000,4064495,104 min
328,Tales from the Crypt: Demon Knight,Ernest R. Dickerson,13000000,21089146,92 min
329,Star Trek: Generations,David Carson,38000000,118071125,118 min
330,Tales from the Hood,Rusty Cundieff,6000000,12000000,98 min
331,Tom & Viv,Brian Gilbert,0,0,115 min
332,Village of the Damned,John Carpenter,22000000,9418365,98 min
333,Tommy Boy,Peter Segal,20000000,32648673,97 min
334,Vanya on 42nd Street,Louis Malle,0,0,119 min
335,The Underneath,Steven Soderbergh,6500000,0,99 min
336,The Walking Dead,Preston A. Whitmore II,0,6014541,88 min
337,What's Eating Gilbert Grape,Lasse Hallström,11000000,10000000,118 min
338,Virtuosity,Brett Leonard,30000000,24048000,106 min
339,While You Were Sleeping,Jon Turteltaub,17000000,182100000,103 min
340,The War,Jon Avnet,0,16,126 min
341,Double Happiness,Mina Shum,None,None,87 min
342,Muriel's Wedding,P.J. Hogan,3000000,15119639,106 min
343,The Baby-Sitters Club,Melanie Mayron,0,0,94 min
344,Ace Ventura: Pet Detective,Tom Shadyac,15000000,107217396,86 min
345,"The Adventures of Priscilla, Queen of the Desert",Stephan Elliott,2000000,29700000,104 min
346,Backbeat,Iain Softley,0,0,100 min
347,Bitter Moon,Roman Polanski,5000000,1862805,139 min
348,Bullets Over Broadway,Woody Allen,20000000,0,98 min
349,Clear and Present Danger,Phillip Noyce,62000000,215887717,141 min
350,The Client,Joel Schumacher,45000000,117615211,119 min
351,"Corrina, Corrina",Jessie Nelson,12500000,20100000,115 min
352,Crooklyn,Spike Lee,14000000,0,115 min
353,The Crow,Alex Proyas,23000000,93722164,102 min
354,Cobb,Ron Shelton,25500000,1007583,128 min
355,The Flintstones,Brian Levant,46000000,341631208,91 min
356,Forrest Gump,Robert Zemeckis,55000000,677387716,142 min
357,Four Weddings and a Funeral,Mike Newell,4400000,245700832,117 min
358,Higher Learning,John Singleton,20000000,38300000,128 min
359,I Like It Like That,Darnell Martin,0,1777020,104 min
360,I Love Trouble,Charles Shyer,45000000,61947267,123 min
361,It Could Happen to You,Andrew Bergman,20000000,37939757,101 min
362,The Jungle Book,Stephen Sommers,27000000,53508356,111 min
363,"The Wonderful, Horrible Life of Leni Riefenstahl",Ray Müller,0,449707,183 min
364,The Lion King,"Roger Allers, Rob Minkoff",45000000,763455561,88 min
365,Little Buddha,Bernardo Bertolucci,35000000,4900000,123 min
366,New Nightmare,Wes Craven,8000000,18090181,112 min
367,The Mask,Chuck Russell,23000000,351583407,101 min
368,Maverick,Richard Donner,75000000,183031272,127 min
369,Mrs. Parker and the Vicious Circle,Alan Rudolph,0,0,125 min
370,Naked Gun 33 1/3: The Final Insult,Peter Segal,30000000,132032598,83 min
371,The Paper,Ron Howard,6000000,48400000,112 min
372,Reality Bites,Ben Stiller,11500000,33351557,99 min
373,Red Rock West,John Dahl,8000000,2500000,98 min
374,Richie Rich,Donald Petrie,40000000,38087756,95 min
376,The River Wild,Curtis Hanson,45000000,94216343,111 min
377,Speed,Jan de Bont,30000000,350448145,116 min
378,Speechless,Ron Underwood,0,20667959,99 min
379,Timecop,Peter Hyams,28000000,128953581,99 min
380,True Lies,James Cameron,115000000,378900000,141 min
381,When a Man Loves a Woman,Luis Mandoki,0,50021959,126 min
382,Wolf,Mike Nichols,70000000,131002597,125 min
383,Wyatt Earp,Lawrence Kasdan,63000000,25100000,191 min
384,Bad Company,Damian Harris,0,0,108 min
385,A Man of No Importance,Suri Krishnamma,0,934550,99 min
386,S.F.W.,Jefery Levy,0,0,96 min
387,A Low Down Dirty Shame,Keenen Ivory Wayans,10000000,29392418,100 min
388,"Boys Life: Three Stories of Love, Lust, and Liberation","Robert Lee King, Raoul O'Connell, Brian Sloan",0,0,91 min
389,Colonel Chabert,Yves Angelo,0,0,110 min
390,"Faster, Pussycat! Kill! Kill!",Russ Meyer,45000,36122,83 min
391,Jason's Lyric,Doug McHenry,7000000,20851521,119 min
393,Street Fighter,Steven E. de Souza,35000000,99423521,102 min
405,Highlander: The Final Dimension,Andrew Morahan,30000000,36738574,99 min
406,Federal Hill,Michael Corrente,0,0,97 min
407,In the Mouth of Madness,John Carpenter,8000000,8946600,95 min
408,8 Seconds,John G. Avildsen,7000000,19623396,105 min
409,Above the Rim,Jeff Pollack,0,0,96 min
410,Addams Family Values,Barry Sonnenfeld,47000000,48919043,94 min
412,The Age of Innocence,Martin Scorsese,34000000,32255440,139 min
413,Airheads,Michael Lehmann,15000000,5751882,92 min
414,The Air Up There,Paul Michael Glaser,17000000,21011500,107 min
415,Another Stakeout,John Badham,30000000,30008496,108 min
416,Bad Girls,Jonathan Kaplan,0,15240435,99 min
417,Barcelona,Whit Stillman,3200000,0,101 min
418,Being Human,Bill Forsyth,40000000,5000000,122 min
419,The Beverly Hillbillies,Penelope Spheeris,0,0,92 min
420,Beverly Hills Cop III,John Landis,50000000,119208989,104 min
421,Black Beauty,Caroline Thompson,0,0,88 min
422,Blink,Michael Apted,11000000,16668552,106 min
423,Blown Away,Stephen Hopkins,28000000,30156002,121 min
424,Blue Chips,William Friedkin,35000000,26000000,108 min
425,Blue Sky,Tony Richardson,0,0,101 min
426,Body Snatchers,Abel Ferrara,13000000,428868,87 min
427,Boxing Helena,Jennifer Lynch,0,1800000,107 min
428,A Bronx Tale,Robert De Niro,22000000,17287898,121 min
429,Cabin Boy,Adam Resnick,0,3662459,80 min
430,Calendar Girl,John Whitesell,13000000,2600000,90 min
431,Carlito's Way,Brian De Palma,30000000,63800000,144 min
432,City Slickers II: The Legend of Curly's Gold,Paul Weiland,40000000,72000000,116 min
433,Clean Slate,Mick Jackson,0,7355425,107 min
434,Cliffhanger,Renny Harlin,70000000,255000211,113 min
435,Coneheads,Steve Barron,33000000,21274717,88 min
436,Color of Night,Richard Rush,40000000,19700000,121 min
437,Cops and Robbersons,Michael Ritchie,0,11391093,93 min
438,The Cowboy Way,Gregg Champion,0,0,102 min
440,Dave,Ivan Reitman,28000000,92000000,110 min
441,Dazed and Confused,Richard Linklater,6900000,8259076,103 min
442,Demolition Man,Marco Brambilla,57000000,58055768,115 min
444,Even Cowgirls Get the Blues,Gus Van Sant,8000000,0,106 min
445,Fatal Instinct,Carl Reiner,0,0,91 min
446,Farewell My Concubine,Kaige Chen,4000000,6400000,171 min
448,Fearless,Peter Weir,20000000,7000000,122 min
449,Fear of a Black Hat,Rusty Cundieff,1000000,233824,88 min
450,With Honors,Alek Keshishian,0,20016254,101 min
451,Flesh and Bone,Steve Kloves,0,9709451,126 min
452,Widows' Peak,John Irvin,0,0,101 min
453,For Love or Money,Barry Sonnenfeld,30000000,11146270,96 min
454,The Firm,Sydney Pollack,42000000,270248367,154 min
455,Free Willy,Simon Wincer,20000000,153698625,112 min
456,Fresh,Boaz Yakin,3500000,8094616,114 min
457,The Fugitive,Andrew Davis,44000000,183875799,130 min
458,Geronimo: An American Legend,Walter Hill,35000000,18635620,115 min
459,The Getaway,Roger Donaldson,0,30057974,115 min
460,Getting Even with Dad,Howard Deutch,30000000,0,109 min
461,Go Fish,Rose Troche,0,0,83 min
464,Hard Target,John Woo,18000000,74189677,97 min
466,Hot Shots! Part Deux,Jim Abrahams,25000000,133752825,86 min
467,Live Nude Girls,Julianna Lavin,0,0,95 min
468,The Englishman Who Went Up a Hill But Came Down a Mountain,Christopher Monger,0,0,99 min
469,The House of the Spirits,Bille August,25000000,6265311,145 min
470,House Party 3,Eric Meza,0,0,100 min
471,The Hudsucker Proxy,"Joel Coen, Ethan Coen",25000000,2800000,111 min
472,I'll Do Anything,James L. Brooks,40000000,0,115 min
473,In the Army Now,Daniel Petrie Jr.,0,28881266,91 min
474,In the Line of Fire,Wolfgang Petersen,40000000,177000000,128 min
475,In the Name of the Father,Jim Sheridan,13000000,65796862,133 min
476,The Inkwell,Matty Rich,0,8880705,110 min
477,What's Love Got to Do with It,Brian Gibson,15000000,39100000,118 min
478,Jimmy Hollywood,Barry Levinson,30000000,3800000,112 min
479,Judgment Night,Stephen Hopkins,21000000,12136938,110 min
480,Jurassic Park,Steven Spielberg,63000000,920100000,127 min
481,Kalifornia,Dominic Sena,9000000,2395231,117 min
482,Killing Zoe,Roger Avary,1500000,418961,96 min
484,Lassie,Daniel Petrie,0,9979683,94 min
485,Last Action Hero,John McTiernan,85000000,137300000,130 min
486,Life with Mikey,James Lapine,2000000,12440858,91 min
487,Lightning Jack,Simon Wincer,0,0,98 min
488,M. Butterfly,David Cronenberg,17000000,1499795,101 min
489,Made in America,Richard Benjamin,22000000,104942695,111 min
490,Malice,Harold Becker,20000000,46405336,107 min
491,The Man Without a Face,Mel Gibson,20000000,36560338,115 min
492,Manhattan Murder Mystery,Woody Allen,13500000,11285588,104 min
493,Menace II Society,"Albert Hughes, Allen Hughes",3500000,27900000,97 min
494,Executive Decision,Stuart Baird,55000000,121969216,133 min
495,In the Realm of the Senses,Nagisa Ôshima,0,0,109 min
496,What Happened Was...,Tom Noonan,0,0,91 min
497,Much Ado About Nothing,Kenneth Branagh,11000000,22600000,111 min
499,Mr. Wonderful,Anthony Minghella,0,3125424,98 min
500,Mrs. Doubtfire,Chris Columbus,25000000,441286195,125 min
501,Naked,Mike Leigh,0,1769305,131 min
502,The Next Karate Kid,Christopher Cain,12000000,15876353,107 min
504,No Escape,Martin Campbell,20000000,15340000,118 min
505,North,Rob Reiner,40000000,0,87 min
506,Orlando,Sally Potter,4000000,5377643,94 min
507,A Perfect World,Clint Eastwood,30000000,135100000,138 min
508,Philadelphia,Jonathan Demme,26000000,206678440,125 min
509,The Piano,Jane Campion,7000000,40200000,121 min
510,Poetic Justice,John Singleton,14000000,27515786,109 min
511,The Program,David S. Ward,0,23042200,112 min
512,The Puppet Masters,Stuart Orme,15000000,8600000,109 min
513,Radioland Murders,Mel Smith,0,0,108 min
514,The Ref,Ted Demme,11000000,11400000,97 min
515,The Remains of the Day,James Ivory,11500000,23240144,134 min
516,Renaissance Man,Penny Marshall,40000000,24332324,128 min
517,Rising Sun,Philip Kaufman,40000000,107198790,129 min
518,The Road to Wellville,Alan Parker,25000000,26000000,118 min
519,RoboCop 3,Fred Dekker,22000000,10696210,104 min
520,Robin Hood: Men in Tights,Mel Brooks,20000000,35739755,104 min
521,Romeo Is Bleeding,Peter Medak,11500000,3275585,110 min
522,Romper Stomper,Geoffrey Wright,1600000,3300000,94 min
523,Ruby in Paradise,Victor Nunez,800000,1001437,114 min
524,Rudy,David Anspaugh,12000000,22800000,114 min
526,Savage Nights,Cyril Collard,0,0,126 min
527,Schindler's List,Steven Spielberg,22000000,321365567,195 min
528,The Scout,Michael Ritchie,20000000,2694234,101 min
529,Searching for Bobby Fischer,Steven Zaillian,12000000,7266383,109 min
531,The Secret Garden,Agnieszka Holland,18000000,40000000,101 min
532,Serial Mom,John Waters,13000000,7820688,95 min
533,The Shadow,Russell Mulcahy,25000000,48100000,108 min
